gridpoin_ID XDisplacement(m) YDisplacement(m) ZDisplacement(m)
469 0 -7.80289e-05 -0.000189942 
470 -1.0504e-06 -7.8365e-05 -0.000185228 
471 0 -4.17369e-05 -0.000115545 
472 0 -4.67221e-05 -0.000131294 
473 -6.4934e-06 -3.98354e-05 -0.000119448 
474 -8.97341e-06 -4.5549e-05 -0.00013259 
475 0 -5.1842e-05 -0.000149044 
476 -7.51144e-06 -5.12738e-05 -0.000147336 
477 0 -5.714e-05 -0.000167864 
478 -3.92612e-06 -5.70475e-05 -0.000164139 
479 0 -6.25608e-05 -0.00018767 
480 3.99814e-07 -6.27745e-05 -0.000182716 
481 0 -3.13165e-05 -0.000114026 
482 0 -3.50863e-05 -0.00012971 
483 -5.77853e-06 -2.98691e-05 -0.000117748 
484 -8.1365e-06 -3.41801e-05 -0.000130775 
485 0 -3.89474e-05 -0.000147385 
486 -6.56448e-06 -3.84963e-05 -0.00014546 
487 0 -4.2936e-05 -0.000166141 
488 -2.88478e-06 -4.28369e-05 -0.000162215 
489 0 -4.70004e-05 -0.000185875 
490 1.51519e-06 -4.71226e-05 -0.000180764 
491 0 -2.08838e-05 -0.00011296 
492 0 -2.34139e-05 -0.000128577 
493 -5.2727e-06 -1.99093e-05 -0.000116548 
494 -7.54384e-06 -2.27978e-05 -0.000129474 
495 0 -2.59984e-05 -0.000146194 
496 -5.8919e-06 -2.56895e-05 -0.000144109 
497 0 -2.86613e-05 -0.000164924 
498 -2.14465e-06 -2.85837e-05 -0.000160848 
499 0 -3.13735e-05 -0.000184621 
500 2.31202e-06 -3.14355e-05 -0.000179348 
501 0 -1.04433e-05 -0.000112325 
502 0 -1.17139e-05 -0.000127903 
503 -4.97226e-06 -9.9546e-06 -0.00011578 
504 -7.19238e-06 -1.14033e-05 -0.000128656 
505 0 -1.30103e-05 -0.000145499 
506 -5.48839e-06 -1.28545e-05 -0.000143275 
507 0 -1.43401e-05 -0.000164179 
508 -1.69918e-06 -1.42987e-05 -0.000160042 
509 0 -1.5702e-05 -0.000183871 
510 2.79701e-06 -1.5724e-05 -0.00017853 
511 0 0 -0.000112126 
512 0 0 -0.000127666 
513 -4.8749e-06 0 -0.000115498 
514 -7.07585e-06 0 -0.000128372 
515 0 0 -0.000145264 
516 -5.35319e-06 0 -0.000143013 
517 0 0 -0.000163932 
518 -1.54995e-06 0 -0.000159768 
519 0 0 -0.000183597 
520 2.95925e-06 0 -0.000178246 
521 -0.00054955 0 -0.000818008 
522 -0.000548415 -2.59995e-05 -0.000816766 
523 -0.000498382 0 -0.000837321 
524 -0.000497429 -2.49624e-05 -0.000835989 
525 -0.000479404 0 -0.000842426 
526 -0.000478542 -2.56295e-05 -0.000841135 
527 -0.000498056 0 -0.000839016 
528 -0.000497177 -2.82463e-05 -0.000837802 
529 -0.000560211 0 -0.000831696 
530 -0.000559191 -3.32727e-05 -0.000830546 
531 -0.000545011 -5.17725e-05 -0.000812783 
532 -0.000494575 -4.97337e-05 -0.000832012 
533 -0.000475966 -5.10662e-05 -0.000837255 
534 -0.000494547 -5.62939e-05 -0.000834095 
535 -0.000556094 -6.62829e-05 -0.000827099 
536 -0.0005394 -7.71217e-05 -0.000806437 
537 -0.000489793 -7.41301e-05 -0.000825402 
538 -0.000471713 -7.61214e-05 -0.000830783 
539 -0.000490211 -8.39221e-05 -0.000827971 
540 -0.000550951 -9.8772e-05 -0.000821381 
541 -0.000531648 -0.000101831 -0.000797442 
542 -0.000483204 -9.79488e-05 -0.00081636 
543 -0.000465809 -0.000100623 -0.000821948 
544 -0.000484198 -0.000110927 -0.000819536 
545 -0.000543839 -0.000130491 -0.000813536 
546 -0.000521836 -0.000125705 -0.000786296 
547 -0.000474887 -0.000121002 -0.000804987 
548 -0.00045831 -0.00012439 -0.000810754 
549 -0.00047657 -0.000137133 -0.000808812 
550 -0.000534874 -0.000161201 -0.000803511 
551 -0.000510112 -0.000148539 -0.000772733 
552 -0.000464931 -0.000143125 -0.000791267 
553 -0.000449335 -0.000147258 -0.00079733 
554 -0.000467425 -0.000162354 -0.000795938 
555 -0.000524108 -0.000190677 -0.000791464 
556 -0.000496588 -0.00017015 -0.000757229 
557 -0.000453447 -0.000164158 -0.00077547 
558 -0.00043898 -0.000169075 -0.000781806 
559 -0.000456866 -0.000186419 -0.000781065 
560 -0.000511648 -0.000218704 -0.000777563 
561 -0.00048144 -0.000190357 -0.000739589 
562 -0.000440559 -0.000183961 -0.000757596 
563 -0.00042734 -0.000189688 -0.000764299 
564 -0.000445004 -0.000209171 -0.000764353 
565 -0.000497649 -0.000245099 -0.000761888 
566 -0.000464848 -0.000208998 -0.000720192 
567 -0.000426422 -0.000202392 -0.000737992 
568 -0.000414537 -0.000208974 -0.000745091 
569 -0.000431938 -0.000230469 -0.000745973 
570 -0.000482225 -0.000269716 -0.000744649 
571 -0.000446976 -0.000225934 -0.000699177 
572 -0.000411196 -0.000219319 -0.000716823 
573 -0.000400712 -0.000226812 -0.000724389 
574 -0.000417787 -0.000250211 -0.000726121 
575 -0.000465569 -0.000292374 -0.000725976 
576 -0.000428045 -0.000241057 -0.000676884 
577 -0.000395023 -0.00023465 -0.000694338 
578 -0.000385982 -0.00024312 -0.000702348 
579 -0.000402704 -0.000268273 -0.000704993 
580 -0.000447892 -0.000312982 -0.000706128 
581 -0.000408272 -0.000254257 -0.000653339 
582 -0.000378084 -0.000248304 -0.000670682 
583 -0.000370497 -0.000257814 -0.000679196 
584 -0.000386826 -0.000284572 -0.000682784 
585 -0.000429296 -0.000331464 -0.000685168 
586 -0.000387846 -0.000265477 -0.000628888 
587 -0.00036054 -0.000260236 -0.000646138 
588 -0.000354411 -0.000270831 -0.000655136 
589 -0.000370274 -0.000299062 -0.000659697 
590 -0.000409991 -0.000347739 -0.000663458 
591 -0.000366997 -0.000274691 -0.000603699 
592 -0.000342578 -0.000270403 -0.000620825 
593 -0.000337868 -0.000282122 -0.000630393 
594 -0.000353246 -0.000311696 -0.000635905 
595 -0.000390099 -0.000361784 -0.000641017 
596 -0.000345898 -0.000281894 -0.000577945 
597 -0.000324357 -0.000278784 -0.000595013 
598 -0.000320985 -0.000291709 -0.000605113 
599 -0.00033584 -0.000322438 -0.000611617 
600 -0.00036984 -0.000373566 -0.000618108 
601 -0.000324747 -0.000287101 -0.000551891 
602 -0.000306003 -0.000285393 -0.00056891 
603 -0.000303929 -0.000299561 -0.000579515 
604 -0.000318195 -0.000331314 -0.000587103 
605 -0.000349321 -0.000383108 -0.000594788 
606 -0.000303734 -0.00029037 -0.000525709 
607 -0.000287692 -0.00029026 -0.000542643 
608 -0.000286827 -0.000305687 -0.000553856 
609 -0.000300476 -0.00033834 -0.000562441 
610 -0.000328728 -0.000390471 -0.00057145 
611 -0.000282992 -0.000291789 -0.000499693 
612 -0.000269541 -0.000293424 -0.000516558 
613 -0.000269777 -0.00031013 -0.000528304 
614 -0.000282742 -0.000343522 -0.000537808 
615 -0.0003082 -0.000395717 -0.00054806 
616 -0.000262684 -0.000291453 -0.000474093 
617 -0.000251658 -0.000294972 -0.000490847 
