zone_ID Sig1(MPa) Sig2(MPa) Sig3(MPa) _Sxx(MPa) _Syy(MPa) _Szz(MPa) _State
175 -40514.6 -82199.7 -82496.7 -82199.9 -40514.6 -82496.5 0
176 -12946.9 -27191.6 -27497.2 -27191.8 -12946.9 -27497 0
177 -95643 -192246 -192494 -192246 -95643 -192494 0
178 -68075.7 -137219 -137494 -137219 -68075.7 -137494 0
179 -40510.5 -82206.9 -82496.3 -82207.1 -40510.5 -82496 0
180 -12942.4 -27199.5 -27497.2 -27199.8 -12942.4 -27497 0
181 -95642.6 -192251 -192492 -192251 -95642.6 -192492 0
182 -68073.1 -137225 -137492 -137225 -68073.1 -137492 0
183 -40506.8 -82212.9 -82495.9 -82213.2 -40506.8 -82495.7 0
184 -12938.7 -27206.3 -27497.1 -27206.6 -12938.7 -27496.9 0
185 -95641.9 -192255 -192491 -192255 -95641.9 -192491 0
186 -68071 -137229 -137492 -137229 -68071 -137492 0
187 -40504.2 -82218.1 -82495.8 -82218.4 -40504.2 -82495.5 0
188 -12936.2 -27212.1 -27497.1 -27212.3 -12936.2 -27496.8 0
189 -95641.6 -192259 -192490 -192259 -95641.6 -192489 0
190 -68069.8 -137233 -137491 -137233 -68069.8 -137491 0
191 -40502.2 -82222.1 -82495.3 -82222.4 -40502.2 -82495.1 0
192 -12934.2 -27216.7 -27497.1 -27216.9 -12934.2 -27496.8 0
193 -95641.4 -192261 -192489 -192261 -95641.4 -192489 0
194 -68069 -137236 -137491 -137236 -68069 -137491 0
195 -40500.8 -82225.2 -82495.2 -82225.5 -40500.8 -82494.9 0
196 -12932.6 -27219.9 -27496.8 -27220.2 -12932.6 -27496.5 0
197 -95641.1 -192263 -192488 -192263 -95641.1 -192488 0
198 -68068.1 -137238 -137491 -137238 -68068.1 -137490 0
199 -40499.8 -82227.3 -82495.2 -82227.6 -40499.8 -82495 0
200 -12931.5 -27222.2 -27496.7 -27222.4 -12931.5 -27496.4 0
201 -95640.9 -192263 -192487 -192263 -95640.9 -192487 0
202 -68067.7 -137239 -137491 -137239 -68067.7 -137491 0
203 -40499.2 -82228.2 -82495.1 -82228.5 -40499.2 -82494.8 0
204 -12931 -27223.3 -27496.6 -27223.5 -12931 -27496.3 0
205 -97052 -190937 -193142 -191347 -97052 -192733 0
206 -69578.4 -136198 -137946 -136522 -69578.4 -137622 0
207 -42143.9 -81396.7 -82719.7 -81568.6 -42143.9 -82547.9 0
208 -14747.8 -26430.1 -27529.5 -26456.9 -14747.8 -27502.7 0
209 -97043.9 -190944 -193137 -191350 -97044 -192731 0
210 -69571.2 -136204 -137943 -136525 -69571.3 -137621 0
211 -42136.3 -81400.8 -82718 -81571.1 -42136.4 -82547.6 0
212 -14738.6 -26433.4 -27529.2 -26459.5 -14739 -27502.7 0
213 -97028.4 -190957 -193129 -191357 -97028.7 -192728 0
214 -69556.6 -136215 -137937 -136531 -69556.9 -137620 0
215 -42121 -81409.1 -82714.9 -81576.1 -42121.3 -82547.6 0
216 -14720.3 -26440.2 -27529 -26465.1 -14721.5 -27503 0
217 -97005.1 -190977 -193116 -191368 -97005.6 -192724 0
218 -69534.8 -136232 -137927 -136540 -69535.2 -137618 0
219 -42098.3 -81421.3 -82710.5 -81583.6 -42098.9 -82547.7 0
220 -14693.4 -26450.3 -27529.1 -26473.6 -14695.5 -27503.7 0
221 -96974.7 -191003 -193099 -191383 -96975.4 -192719 0
222 -69505.8 -136253 -137915 -136551 -69506.5 -137616 0
223 -42068.2 -81436.9 -82703.9 -81593.1 -42069.2 -82546.8 0
224 -14658.1 -26463.5 -27528.5 -26484.5 -14661.5 -27504.1 0
225 -96937.2 -191034 -193079 -191400 -96938.3 -192712 0
226 -69470.7 -136279 -137900 -136565 -69471.8 -137613 0
227 -42031.3 -81455.8 -82695.4 -81604.5 -42032.7 -82545.3 0
228 -14614.7 -26479.3 -27527.4 -26497.6 -14619.6 -27504.1 0
229 -96893 -191071 -193056 -191421 -96894.5 -192705 0
230 -69429.5 -136310 -137883 -136582 -69430.9 -137609 0
231 -41987.9 -81477.6 -82685.4 -81617.8 -41989.7 -82543.3 0
232 -14563.8 -26497.5 -27526.1 -26512.9 -14570.3 -27504.2 0
233 -96842.6 -191112 -193029 -191444 -96844.5 -192696 0
234 -69382.6 -136344 -137863 -136600 -69384.3 -137605 0
235 -41938.6 -81502.2 -82674.6 -81632.9 -41940.9 -82541.7 0
236 -14506.4 -26518 -27524.7 -26530.4 -14514.5 -27504.3 0
237 -96787.1 -191158 -193000 -191469 -96789.3 -192687 0
238 -69330.7 -136381 -137842 -136621 -69332.8 -137601 0
239 -41884.1 -81529.4 -82663.1 -81649.8 -41886.9 -82540 0
240 -14443.4 -26540.8 -27523.3 -26550 -14453.1 -27504.4 0
241 -96726.8 -191208 -192969 -191497 -96729.3 -192677 0
242 -69274.1 -136422 -137819 -136643 -69276.6 -137596 0
243 -41825.5 -81558.5 -82650.6 -81668.1 -41828.7 -82537.8 0
244 -14375.3 -26565.4 -27521.5 -26571.4 -14386.6 -27504.3 0
245 -96662.2 -191260 -192936 -191527 -96665.1 -192667 0
246 -69213.9 -136464 -137795 -136666 -69216.7 -137591 0
247 -41762.5 -81588.9 -82637.1 -81687.5 -41766.1 -82535 0
248 -14303.1 -26591.2 -27519.5 -26594.1 -14315.8 -27504 0
249 -96594.1 -191315 -192902 -191557 -96597.2 -192656 0
250 -69150.7 -136509 -137771 -136691 -69153.7 -137585 0
251 -41696.4 -81620.6 -82623.6 -81708 -41700.4 -82532.2 0
252 -14228.1 -26618.4 -27517.7 -26618.3 -14242 -27503.9 0
253 -96524.4 -191371 -192868 -191590 -96527.7 -192646 0
254 -69085.1 -136553 -137745 -136716 -69088.3 -137579 0
255 -41628.2 -81653.3 -82610.5 -81729.7 -41632.4 -82529.9 0
256 -14150.8 -26646.5 -27516 -26643.7 -14165.6 -27504 0
257 -96453.4 -191428 -192833 -191623 -96456.8 -192635 0
258 -69017.7 -136599 -137720 -136742 -69021.1 -137573 0
259 -41558 -81686.2 -82597.4 -81751.8 -41562.4 -82527.3 0
260 -14072.3 -26675.4 -27514.9 -26670.1 -14087.9 -27504.5 0
261 -96381.3 -191485 -192799 -191656 -96384.8 -192624 0
262 -68949.9 -136644 -137696 -136769 -68953.4 -137568 0
263 -41486.9 -81718.8 -82584.1 -81774.2 -41491.4 -82524.2 0
264 -13992.7 -26704.1 -27513.5 -26696.9 -14008.8 -27504.7 0
265 -96309.7 -191542 -192765 -191690 -96313.2 -192613 0
266 -68881.5 -136689 -137671 -136795 -68884.9 -137562 0
267 -41416.3 -81751.9 -82572.4 -81797.6 -41421 -82522 0
268 -13913.4 -26732.7 -27511.3 -26723.7 -13929.7 -27503.9 0
269 -96239.7 -191597 -192732 -191723 -96243 -192602 0
